Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,799,3,P:System.Windows.Forms.Form.StartPosition,,,,,this.StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,796,4,P:System.Windows.Forms.Control.Right,,,,,x = owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,791,4,P:System.Windows.Forms.Control.Width,,,,,x = owner.Left - this.Width;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,791,4,P:System.Windows.Forms.Control.Left,,,,,x = owner.Left - this.Width;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,786,3,P:System.Windows.Forms.Control.Top,,,,,y = owner.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,783,3,P:System.Windows.Forms.Control.Right,,,,,int spaceRight = Screen.FromControl(owner).WorkingArea.Right - owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,783,3,T:System.Windows.Forms.Screen,,,,,int spaceRight = Screen.FromControl(owner).WorkingArea.Right - owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,783,3,T:System.Windows.Forms.Screen,,,,,int spaceRight = Screen.FromControl(owner).WorkingArea.Right - owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,783,3,M:System.Windows.Forms.Screen.FromControl(System.Windows.Forms.Control),,,,,int spaceRight = Screen.FromControl(owner).WorkingArea.Right - owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,783,3,P:System.Windows.Forms.Screen.WorkingArea,,,,,int spaceRight = Screen.FromControl(owner).WorkingArea.Right - owner.Right;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,782,3,T:System.Windows.Forms.Screen,,,,,int spaceLeft = owner.Left - Screen.FromControl(owner).WorkingArea.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,782,3,T:System.Windows.Forms.Screen,,,,,int spaceLeft = owner.Left - Screen.FromControl(owner).WorkingArea.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,782,3,M:System.Windows.Forms.Screen.FromControl(System.Windows.Forms.Control),,,,,int spaceLeft = owner.Left - Screen.FromControl(owner).WorkingArea.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,782,3,P:System.Windows.Forms.Screen.WorkingArea,,,,,int spaceLeft = owner.Left - Screen.FromControl(owner).WorkingArea.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,782,3,P:System.Windows.Forms.Control.Left,,,,,int spaceLeft = owner.Left - Screen.FromControl(owner).WorkingArea.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,761,5,T:System.Windows.Forms.TreeView,,,,,treeConfigurations.SelectedNode = node;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,761,5,T:System.Windows.Forms.TreeNode,,,,,treeConfigurations.SelectedNode = node;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,761,5,P:System.Windows.Forms.TreeView.SelectedNode,,,,,treeConfigurations.SelectedNode = node;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,759,4,P:System.Windows.Forms.TreeNode.Tag,,,,,if (guid.Equals(node.Tag as string))  				{  					treeConfigurations.SelectedNode = node;  					return;  				}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,757,3,T:System.Windows.Forms.TreeView,,,,,foreach (TreeNode node in treeConfigurations.Nodes)  			{  				if (guid.Equals(node.Tag as string))  				{  					treeConfigurations.SelectedNode = node;  					return;  				}  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,757,3,T:System.Windows.Forms.TreeNodeCollection,,,,,foreach (TreeNode node in treeConfigurations.Nodes)  			{  				if (guid.Equals(node.Tag as string))  				{  					treeConfigurations.SelectedNode = node;  					return;  				}  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,757,3,P:System.Windows.Forms.TreeView.Nodes,,,,,foreach (TreeNode node in treeConfigurations.Nodes)  			{  				if (guid.Equals(node.Tag as string))  				{  					treeConfigurations.SelectedNode = node;  					return;  				}  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,751,4,T:System.Windows.Forms.TextBox,,,,,txtHosts.Text = normalized;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,751,4,P:System.Windows.Forms.TextBox.Text,,,,,txtHosts.Text = normalized;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,749,3,T:System.Windows.Forms.TextBox,,,,,if (normalized != txtHosts.Text)  			{  				txtHosts.Text = normalized;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,749,3,P:System.Windows.Forms.TextBox.Text,,,,,if (normalized != txtHosts.Text)  			{  				txtHosts.Text = normalized;  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,734,3,T:System.Windows.Forms.TextBox,,,,,string text = txtHosts.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,734,3,P:System.Windows.Forms.TextBox.Text,,,,,string text = txtHosts.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,706,3,T:System.Windows.Forms.CheckBox,,,,,cbStopMonitoringIntermediateHopsThatDoNotRepondToRegularPings.Enabled = cbTraceroute.Checked;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,706,3,P:System.Windows.Forms.CheckBox.Checked,,,,,cbStopMonitoringIntermediateHopsThatDoNotRepondToRegularPings.Enabled = cbTraceroute.Checked;
